search_term;url
Climate Change;https://ccis.environment.gov.za/ndao/#/
Climate Change Plan;https://ccis.environment.gov.za/ndao/#/
Climate Change Project;https://ccis.environment.gov.za/ndao/#/
Early warning system;https://ccis.environment.gov.za/ndao/#/
EWS;https://ccis.environment.gov.za/ndao/#/
business plan;https://ccis.environment.gov.za/ndao/#/
business strategy;https://ccis.environment.gov.za/ndao/#/
sectoral plan;https://ccis.environment.gov.za/ndao/#/
sectoral strategy;https://ccis.environment.gov.za/ndao/#/
provincial and municipal legal frameworks;https://ccis.environment.gov.za/ndao/#/
policies;https://ccis.environment.gov.za/ndao/#/
Spatial Development Frameworks;https://ccis.environment.gov.za/ndao/#/
Environmental Management Frameworks;https://ccis.environment.gov.za/ndao/#/
Growth and Development Strategies;https://ccis.environment.gov.za/ndao/#/
Disaster Management Plans;https://ccis.environment.gov.za/ndao/#/
Conservation Plans;https://ccis.environment.gov.za/ndao/#/
Food Security Strategies;https://ccis.environment.gov.za/ndao/#/
Energy Security Strategies;https://ccis.environment.gov.za/ndao/#/
Coastal Management Programmes;https://ccis.environment.gov.za/ndao/#/
Agricultural Plans and Strategies;https://ccis.environment.gov.za/ndao/#/
Integrated Development Plans and associated Sector Plans as prescribed in Municipal Systems and Structures Act;https://ccis.environment.gov.za/ndao/#/
Water Catchment Strategies;https://ccis.environment.gov.za/ndao/#/
Integrated Waste Management Plans;https://ccis.environment.gov.za/ndao/#/
Alien Invasive Strategies;https://ccis.environment.gov.za/ndao/#/
Environmental Impact Assessments;https://ccis.environment.gov.za/ndao/#/
International Agreements on Water Allocation;https://ccis.environment.gov.za/ndao/#/
Business Plans;https://ccis.environment.gov.za/ndao/#/
Land Capability Plans;https://ccis.environment.gov.za/ndao/#/
Air Quality Plans;https://ccis.environment.gov.za/ndao/#/
Greening Strategies;https://ccis.environment.gov.za/ndao/#/
Green Economy Strategies;https://ccis.environment.gov.za/ndao/#/
Transport Strategies;https://ccis.environment.gov.za/ndao/#/
Water Management Strategies;https://ccis.environment.gov.za/ndao/#/
Forest Protection Strategies;https://ccis.environment.gov.za/ndao/#/
Education Plans;https://ccis.environment.gov.za/ndao/#/
Economic Plans;https://ccis.environment.gov.za/ndao/#/
Tourism Plans;https://ccis.environment.gov.za/ndao/#/
Human Settlements;https://ccis.environment.gov.za/ndao/#/
Rural Development Plans;https://ccis.environment.gov.za/ndao/#/
licensing/permitting/authorisation procedures and by-laws;https://ccis.environment.gov.za/ndao/#/
Risk management;https://ccis.environment.gov.za/ndao/#/
Climate;https://ccis.environment.gov.za/ndao/#/
Change;https://ccis.environment.gov.za/ndao/#/
Risk;https://ccis.environment.gov.za/ndao/#/
Vulnerability;https://ccis.environment.gov.za/ndao/#/
Susceptibility;https://ccis.environment.gov.za/ndao/#/
Coping capacity;https://ccis.environment.gov.za/ndao/#/
Impact;https://ccis.environment.gov.za/ndao/#/
Adaptation;https://ccis.environment.gov.za/nccrd/#/
Mitigation;https://ccis.environment.gov.za/nccrd/#/
IPPU;https://ccis.environment.gov.za/nccrd/#/
AFOLU;https://ccis.environment.gov.za/nccrd/#/
Energy;https://ccis.environment.gov.za/nccrd/#/
Industrial Processes and Product Use;https://ccis.environment.gov.za/nccrd/#/
Agriculture Forestry and Other Land Use;https://ccis.environment.gov.za/nccrd/#/
Waste;https://ccis.environment.gov.za/nccrd/#/
Climate Change Plan;https://ccis.environment.gov.za/nccrd/#/
Climate Change Project;https://ccis.environment.gov.za/nccrd/#/
Climate Change Response;https://ccis.environment.gov.za/nccrd/#/
Climate change action;https://ccis.environment.gov.za/nccrd/#/
Policy;https://ccis.environment.gov.za/nccrd/#/
Biodiversity;https://ccis.environment.gov.za/nccrd/#/
Energy Industries;https://ccis.environment.gov.za/nccrd/#/
Manufacturing Industries and Construction;https://ccis.environment.gov.za/nccrd/#/
Transport;https://ccis.environment.gov.za/nccrd/#/
Other Sectors;https://ccis.environment.gov.za/nccrd/#/
Non Specified;https://ccis.environment.gov.za/nccrd/#/
Solid Fuels;https://ccis.environment.gov.za/nccrd/#/
Oil and Natural Gas;https://ccis.environment.gov.za/nccrd/#/
Other Emissions from Energy Production;https://ccis.environment.gov.za/nccrd/#/
Transport of CO2;https://ccis.environment.gov.za/nccrd/#/
Injections and Storage;https://ccis.environment.gov.za/nccrd/#/
Other Energy;https://ccis.environment.gov.za/nccrd/#/
Mineral Industry;https://ccis.environment.gov.za/nccrd/#/
Chemical Industry;https://ccis.environment.gov.za/nccrd/#/
Metal Industry;https://ccis.environment.gov.za/nccrd/#/
Non Energy Products from Fuels and Solvent Use;https://ccis.environment.gov.za/nccrd/#/
Electronics Industry;https://ccis.environment.gov.za/nccrd/#/
